Unnamed: 0,Unnamed: 0.1,State,Locality,Precincts (Or Locality-wide),name,address,lat,lon,Is Early Voting,Is Drop Off,manual
,,CA,ORANGE COUNTY,,Brea Museum & Historical Society,495 S Brea Blvd Brea CA 92821,33.91339,-117.90236,,,
,,CA,ORANGE COUNTY,,Brea Fire Station # 2,200 N Brea Blvd Brea CA 92821,33.92098,-117.89755,,,
,,CA,ORANGE COUNTY,,Embassy Suites by Hilton Brea,900 E Birch St Brea CA 92821,33.91738,-117.88764,,,
,,CA,ORANGE COUNTY,,Walter Knott Education Center,7300 La Palma Ave Buena Park CA 90620,33.84625,-118.00539,,,
,,CA,ORANGE COUNTY,,Buena Park Community Center,6688 Beach Blvd Buena Park CA 90621,33.8638,-117.99562,,,
,,CA,ORANGE COUNTY,,Hampton Inn & Suites Buena Park,7307 Artesia Blvd Buena Park CA 90621,33.87386,-118.00537,,,
,,CA,ORANGE COUNTY,,La Quinta Inn & Suites Buena Park,3 Centerpointe Dr La Palma CA 90623,33.86045,-118.03155,,,
,,CA,ORANGE COUNTY,,Boiserranc Park,7520 Dale St Buena Park CA 90620,33.85311,-117.98306,,,
,,CA,ORANGE COUNTY,,Costa Mesa City Hall,77 Fair Dr Costa Mesa CA 92626,33.66321,-117.90266,,,
,,CA,ORANGE COUNTY,,Balearic Community Center,1975 Balearic Dr Costa Mesa CA 92626,33.67473,-117.93904,,,
,,CA,ORANGE COUNTY,,Costa Mesa Senior Center,695 W 19th St Costa Mesa CA 92627,33.64305,-117.92727,,,
,,CA,ORANGE COUNTY,,Costa Mesa Library-Donald Dungan Library,1855 Park Ave Costa Mesa CA 92627,33.64189,-117.9222,,,
,,CA,ORANGE COUNTY,,Sofia University,3333 Harbor Blvd Costa Mesa CA 92626,33.69471,-117.9207,,,
,,CA,ORANGE COUNTY,,Coast Community College District,1370 Adams Ave Costa Mesa CA 92626,33.67405,-117.91616,,,
,,CA,ORANGE COUNTY,,John Wayne Airport Administration Office,3160 Airway Ave Costa Mesa CA 92626,33.6785,-117.87107,,,
,,CA,ORANGE COUNTY,,Cypress Branch Library,5331 Orange Ave Cypress CA 90630,33.82483,-118.03938,,,
,,CA,ORANGE COUNTY,,Cypress College Bldg 18 School of Cont. Ed.,9200 Valley View St Cypress CA 90630,33.82809,-118.02528,,,
,,CA,ORANGE COUNTY,,Cypress Senior Center,9031 Grindlay St Cypress CA 90630,33.8304,-118.04171,,,
,,CA,ORANGE COUNTY,,Hyatt House,5905 Corporate Ave Cypress CA 90630,33.80834,-118.02982,,,
,,CA,ORANGE COUNTY,,Dana Point Community Center,34052 Del Obispo St Dana Point CA 92629,33.46794,-117.68405,,,
,,CA,ORANGE COUNTY,,Dana Point Branch Library,33841 Niguel Rd Dana Point CA 92629,33.47694,-117.71603,,,
,,CA,ORANGE COUNTY,,Dana Point Marina Inn,24800 Dana Point Harbor Dr Dana Point CA 92629,33.46172,-117.69678,,,
,,CA,ORANGE COUNTY,,Fountain Valley Recreation Center,16400 Brookhurst St Fountain Valley CA 92708,33.72517,-117.95339,,,
,,CA,ORANGE COUNTY,,Orange County Water District,18700 Ward St Fountain Valley CA 92708,33.69328,-117.9449,,,
,,CA,ORANGE COUNTY,,Freedom Hall at Mile Square Park,16801 Euclid St Fountain Valley CA 92708,33.71952,-117.93731,,,
,,CA,ORANGE COUNTY,,Fullerton Public Library,353 W Commonwealth Ave Fullerton CA 92832,33.87072,-117.93048,,,
,,CA,ORANGE COUNTY,,St Andrew's Episcopal Church,1231 E Chapman Ave Fullerton CA 92831,33.87433,-117.90499,,,
,,CA,ORANGE COUNTY,,Gilbert Community Center,2120 Orangethorpe Ave Fullerton CA 92831,33.85969,-117.88731,,,
,,CA,ORANGE COUNTY,,Hillcrest Community Center,1155 N Lemon St Fullerton CA 92835,33.88143,-117.92074,,,
,,CA,ORANGE COUNTY,,Fullerton Joint Union High School District Office,1051 W Bastanchury Rd Fullerton CA 92833,33.88867,-117.94426,,,
,,CA,ORANGE COUNTY,,Independence Park,801 W Valencia Dr Fullerton CA 92832,33.86744,-117.93922,,,
,,CA,ORANGE COUNTY,,CSUF Housing & Residential Engagement Office,1509 E Campus Dr Fullerton CA 92834,33.88363,-117.88169,,,
,,CA,ORANGE COUNTY,,Public Works Maintenance Yard,1580 W Commonwealth Ave Fullerton CA 92833,33.86965,-117.94975,,,
,,CA,ORANGE COUNTY,,Days Inn & Suites by Wyndham Fullerton,333 E Imperial Hwy Fullerton CA 92835,33.91803,-117.92806,,,
,,CA,ORANGE COUNTY,,West Haven Park,12252 West St Garden Grove CA 92840,33.78434,-117.92244,,,
,,CA,ORANGE COUNTY,,Garden Grove Sports and Rec Center,13641 Deodara Dr Garden Grove CA 92844,33.76412,-117.96654,,,
,,CA,ORANGE COUNTY,,Edgar Park Meeting Room,6202 Cerulean Ave Garden Grove CA 92845,33.7773,-118.02639,,,
,,CA,ORANGE COUNTY,,H Louis Lake Senior Center,11300 Stanford Ave Garden Grove CA 92840,33.77733,-117.93561,,,
,,CA,ORANGE COUNTY,,Chapman-Hettinga Center,11852 Knott Ave Garden Grove CA 92841,33.79107,-118.00993,,,
,,CA,ORANGE COUNTY,,Orangefield Child Development Center,9822 Russell Ave Garden Grove CA 92844,33.7684,-117.95808,,,
,,CA,ORANGE COUNTY,,Code Ninjas,9575 Chapman Ave Garden Grove CA 92841,33.78992,-117.96605,,,
,,CA,ORANGE COUNTY,,CTS Cement Manufacturing Corporation,12442 Knott St Garden Grove CA 92841,33.78158,-118.01037,,,
,,CA,ORANGE COUNTY,,Brookhurst Place,12801 Brookhurst St Garden Grove CA 92840,33.77652,-117.95762,,,
,,CA,ORANGE COUNTY,,Assistance League of Garden Grove,10932 Trask Ave Garden Grove CA 92843,33.7667,-117.93877,,,
,,CA,ORANGE COUNTY,,Harbor Place Plaza,13208 Harbor Blvd Garden Grove CA 92843,33.77201,-117.91897,,,
,,CA,ORANGE COUNTY,,Michael E Rodgers Senior Center,1706 Orange Ave Huntington Beach CA 92648,33.66782,-118.00996,,,
,,CA,ORANGE COUNTY,,Huntington Beach Central Library,7111 Talbert Ave Huntington Beach CA 92648,33.70194,-118.00452,,,
,,CA,ORANGE COUNTY,,Edison Community Center,21377 Magnolia St Huntington Beach CA 92646,33.65223,-117.97183,,,
,,CA,ORANGE COUNTY,,Huntington Beach Civic Center,2000 Main St Huntington Beach CA 92648,33.67806,-118.00029,,,
,,CA,ORANGE COUNTY,,Main Street Branch Library,525 Main St Huntington Beach CA 92648,33.66201,-117.99917,,,
,,CA,ORANGE COUNTY,,Ocean View District Office Bldg E - Prof Learning Ctr,17200 Pinehurst Ln Huntington Beach CA 92647,33.71168,-118.0209,,,
,,CA,ORANGE COUNTY,,Golden West College,15744 Goldenwest St Huntington Beach CA 92647,33.73256,-118.00464,,,
,,CA,ORANGE COUNTY,,Resurrection Lutheran Church,9812 Hamilton Ave Huntington Beach CA 92646,33.64999,-117.95625,,,
,,CA,ORANGE COUNTY,,Huntington Beach City School District,8750 Dorsett Dr Huntington Beach CA 92646,33.65531,-117.97485,,,
,,CA,ORANGE COUNTY,,Brookfield Manor Clubhouse,9850 Garfield Ave Huntington Beach CA 92646,33.68584,-117.95621,,,
,,CA,ORANGE COUNTY,,Storefront at Plaza de la Playa,19092 Beach Blvd Huntington Beach CA 92648,33.6855,-117.98783,,,
,,CA,ORANGE COUNTY,,Westchester Bay Homeowners' Association,16011 Bonaire Cir Huntington Beach CA 92649,33.72939,-118.05991,,,
,,CA,ORANGE COUNTY,,Irvine City Hall,1 Civic Center Plaza Irvine CA 92606,33.68619,-117.82629,,,
,,CA,ORANGE COUNTY,,Portola Springs Community Center,900 Tomato Springs Irvine CA 92618,33.69574,-117.70045,,,
,,CA,ORANGE COUNTY,,Quail Hill Community Center,39 Shady Canyon Dr Irvine CA 92603,33.65033,-117.78353,,,
,,CA,ORANGE COUNTY,,Deerfield Community Center,55 Deerwood W Irvine CA 92604,33.69034,-117.7929,,,
,,CA,ORANGE COUNTY,,Lakeview Senior Center,20 Lake Rd Irvine CA 92604,33.67604,-117.80269,,,
,,CA,ORANGE COUNTY,,Las Lomas Community Center,10 Federation Way Irvine CA 92603,33.63011,-117.82897,,,
,,CA,ORANGE COUNTY,,Los Olivos Community Center,101 Alfonso Dr Irvine CA 92618,33.63585,-117.74585,,,
,,CA,ORANGE COUNTY,,Northwood Community Center,4531 Bryan Ave Irvine CA 92620,33.71155,-117.76851,,,
,,CA,ORANGE COUNTY,,University Community Center,1 Beech Tree Ln Irvine CA 92612,33.66009,-117.81958,,,
,,CA,ORANGE COUNTY,,OC Great Park,8000 Great Park Blvd Irvine CA 92618,33.67607,-117.73461,,,
,,CA,ORANGE COUNTY,,UCI - Mesa Court Community Center,4053 Mesa Rd Irvine CA 92697,33.65298,-117.84531,,,
,,CA,ORANGE COUNTY,,Heritage Park Regional Library,14361 Yale Irvine CA 92604,33.69957,-117.77843,,,
,,CA,ORANGE COUNTY,,Irvine Valley College,5500 Irvine Center Dr Irvine CA 92618,33.67608,-117.77495,,,
,,CA,ORANGE COUNTY,,South Coast Chinese Cultural Center,9 Truman St Irvine CA 92620,33.69666,-117.76697,,,
,,CA,ORANGE COUNTY,,University Hills Community Center,1083 California Ave Irvine CA 92617,33.63594,-117.83597,,,
,,CA,ORANGE COUNTY,,Cal State Fullerton Irvine Center,3 Banting Irvine CA 92618,33.65904,-117.7605,,,
,,CA,ORANGE COUNTY,,La Habra Community Center,101 W La Habra Blvd La Habra CA 90631,33.93251,-117.94715,,,
,,CA,ORANGE COUNTY,,La Habra City School District Office,500 N Walnut St La Habra CA 90631,33.93587,-117.95034,,,
,,CA,ORANGE COUNTY,,Plaza del Sol,121 S Beach Blvd Ste C La Habra CA 90631,33.93126,-117.96833,,,
,,CA,ORANGE COUNTY,,La Palma Community Center,7821 Walker St La Palma CA 90623,33.84899,-118.03766,,,
,,CA,ORANGE COUNTY,,Mercantile West Shopping Center,25692 Crown Valley Parkway Ste J1 Ladera Ranch CA 92694,33.56593,-117.6318,,,
,,CA,ORANGE COUNTY,,Laguna Beach Community Center & Susi Q Center,380 3rd St Laguna Beach CA 92651,33.54364,-117.78035,,,
,,CA,ORANGE COUNTY,,American Legion Post 222,384 Legion St Laguna Beach CA 92651,33.5408,-117.78019,,,
,,CA,ORANGE COUNTY,,Laguna Hills City Hall,24035 El Toro Rd Laguna Hills CA 92653,33.61324,-117.71177,,,
,,CA,ORANGE COUNTY,,The Village at Nellie Gail Ranch Plaza,26548 Moulton Pkwy Ste 48L Laguna Hills CA 92653,33.57776,-117.70082,,,
,,CA,ORANGE COUNTY,,The Hills Hotel,25205 La Paz Rd Laguna Hills CA 92653,33.59792,-117.67855,,,
,,CA,ORANGE COUNTY,,Laguna Niguel City Hall,30111 Crown Valley Pkwy Laguna Niguel CA 92677,33.52352,-117.71562,,,
,,CA,ORANGE COUNTY,,Sea Country Senior and Community Center,24602 Aliso Creek Rd Laguna Niguel CA 92677,33.55633,-117.70008,,,
,,CA,ORANGE COUNTY,,Kite Hill Clubhouse,29101 Kite Hill Dr Laguna Niguel CA 92677,33.54067,-117.71073,,,
,,CA,ORANGE COUNTY,,Marina Hills Recreation Center,31461 Parc Vista Laguna Niguel CA 92677,33.51907,-117.69988,,,
,,CA,ORANGE COUNTY,,Christian Science Church,29012 Aloma Ave Laguna Niguel CA 92677,33.54156,-117.69071,,,
,,CA,ORANGE COUNTY,,Laguna Woods City Hall,24264 El Toro Rd Laguna Woods CA 92637,33.61047,-117.72336,,,
,,CA,ORANGE COUNTY,,Laguna Woods Village - Clubhouse 7,24111 Moulton Pkwy Laguna Woods CA 92637,33.61215,-117.73106,,,
,,CA,ORANGE COUNTY,,Lake Forest Civic Center,100 Civic Center Dr Lake Forest CA 92630,33.66008,-117.67838,,,
,,CA,ORANGE COUNTY,,Lake Forest Sports Park,28000 Rancho Pkwy Lake Forest CA 92630,33.66346,-117.65669,,,
,,CA,ORANGE COUNTY,,El Toro Branch Library,24672 Raymond Way Lake Forest CA 92630,33.61948,-117.69981,,,
,,CA,ORANGE COUNTY,,Foothill Ranch Library,27002 Cabriole Foothill Ranch CA 92610,33.6809,-117.65914,,,
,,CA,ORANGE COUNTY,,El Toro Water District Office,24250 Los Alisos Blvd Lake Forest CA 92630,33.6104,-117.69688,,,
,,CA,ORANGE COUNTY,,Los Alamitos School District,10293 Bloomfield St Los Alamitos CA 90720,33.81587,-118.06391,,,
,,CA,ORANGE COUNTY,,Mission Viejo City Hall,200 Civic Center Mission Viejo CA 92691,33.59632,-117.6599,,,
,,CA,ORANGE COUNTY,,Saddleback Valley Unified School District,25631 Peter A Hartman Way Mission Viejo CA 92691,33.62159,-117.68391,,,
,,CA,ORANGE COUNTY,,Mission Viejo Church of Christ,26558 Marguerite Pkwy Mission Viejo CA 92692,33.57372,-117.6571,,,
,,CA,ORANGE COUNTY,,Saddleback College,28000 Marguerite Pkwy Mission Viejo CA 92692,33.55403,-117.66411,,,
,,CA,ORANGE COUNTY,,Casta Del Sol Golf Course,27601 Casta Del Sol Mission Viejo CA 92692,33.6205,-117.64784,,,
,,CA,ORANGE COUNTY,,Orange County Islamic Foundation (OCIF),23581 Madero Reception Mission Viejo CA 92691,33.62083,-117.67603,,,
,,CA,ORANGE COUNTY,,Storefront at 28815 Los Alisos Blvd,28815 Los Alisos Blvd Mission Viejo CA 92692,33.65414,-117.62987,,,
,,CA,ORANGE COUNTY,,Newport Beach Civic Center,100 Civic Center Dr Newport Beach CA 92660,33.60919,-117.87244,,,
,,CA,ORANGE COUNTY,,Marina Park Community Center,1600 W Balboa Blvd Newport Beach CA 92663,33.60808,-117.92314,,,
,,CA,ORANGE COUNTY,,Newport Coast Community Center,6401 San Joaquin Hills Rd Newport Beach CA 92657,33.60932,-117.82647,,,
,,CA,ORANGE COUNTY,,OASIS Senior Center,801 Narcissus Ave Corona Del Mar CA 92625,33.59961,-117.86617,,,
,,CA,ORANGE COUNTY,,Newport Harbor Lutheran Church,798 Dover Dr Newport Beach CA 92663,33.62144,-117.90598,,,
,,CA,ORANGE COUNTY,,Newport Harbor Lawn Bowling Club,1550 Crown Dr N Corona Del Mar CA 92625,33.60874,-117.86483,,,
,,CA,ORANGE COUNTY,,El Modena Branch Library,380 S Hewes St Orange CA 92869,33.78221,-117.80618,,,
,,CA,ORANGE COUNTY,,Chapman University,386 N Center St Orange CA 92866,33.79301,-117.85047,,,
,,CA,ORANGE COUNTY,,Orange Unified School District Office,1401 N Handy St Orange CA 92867,33.81066,-117.82662,,,
,,CA,ORANGE COUNTY,,Taft Avenue Community Church,1350 E Taft Ave Orange CA 92865,33.81543,-117.83989,,,
,,CA,ORANGE COUNTY,,Steve Ambriz Memorial Park,611 Riverbend Pkwy Orange CA 92865,33.83651,-117.85736,,,
,,CA,ORANGE COUNTY,,Santiago Canyon College,8045 E Chapman Ave Orange CA 92869,33.79542,-117.76679,,,
,,CA,ORANGE COUNTY,,Killefer Park,615 N Lemon St Orange CA 92867,33.79714,-117.85482,,,
,,CA,ORANGE COUNTY,,Embassy Suites by Hilton Anaheim Orange,400 N State College Blvd Orange CA 92868,33.79447,-117.88991,,,
,,CA,ORANGE COUNTY,,Backs Community Building,201 Bradford Ave Placentia CA 92870,33.87359,-117.87049,,,
,,CA,ORANGE COUNTY,,Aguirre Building,505 Jefferson St Placentia CA 92870,33.87592,-117.83794,,,
,,CA,ORANGE COUNTY,,Placentia Library District,411 E Chapman Ave Placentia CA 92870,33.87153,-117.8609,,,
,,CA,ORANGE COUNTY,,Yorba Linda Water District,1717 E Miraloma Ave Placentia CA 92870,33.86312,-117.82771,,,
,,CA,ORANGE COUNTY,,Rancho Santa Margarita Branch Library,30902 La Promesa Rancho Santa Margarita CA 92688,33.64062,-117.59241,,,
,,CA,ORANGE COUNTY,,Bell Tower Regional Community Center,22232 El Paseo Rancho Santa Margarita CA 92688,33.64142,-117.59443,,,
,,CA,ORANGE COUNTY,,San Clemente Community Center,100 N Calle Seville San Clemente CA 92672,33.42425,-117.61777,,,
,,CA,ORANGE COUNTY,,San Clemente Aquatic Center,987 Avenida Vista Hermosa San Clemente CA 92673,33.45986,-117.60564,,,
,,CA,ORANGE COUNTY,,San Clemente Library,242 Avenida Del Mar San Clemente CA 92672,33.42473,-117.61713,,,
,,CA,ORANGE COUNTY,,San Clemente Outlets,101 West Avenida Vista Hermosa Suite 505 San Clemente CA 92672,33.43997,-117.62884,,,
,,CA,ORANGE COUNTY,,The Volare Resort,111 S Avenida De La Estrella San Clemente CA 92672,33.42728,-117.61126,,,
,,CA,ORANGE COUNTY,,Reata Park & Event Center,28632 Ortega Hwy San Juan Capistrano CA 92675,33.51668,-117.62908,,,
,,CA,ORANGE COUNTY,,La Sala Auditorium,31495 El Camino Real San Juan Capistrano CA 92675,33.50526,-117.66333,,,
,,CA,ORANGE COUNTY,,San Juan Capistrano Community Center,25925 Camino Del Avion San Juan Capistrano CA 92675,33.48772,-117.67737,,,
,,CA,ORANGE COUNTY,,Capistrano Unified School District,33122 Valle Rd San Juan Capistrano CA 92675,33.47983,-117.67003,,,
,,CA,ORANGE COUNTY,,Southwest Senior Center,2201 W McFadden Ave Santa Ana CA 92704,33.73505,-117.89863,,,
,,CA,ORANGE COUNTY,,Immaculate Heart of Mary Church,1100 S Center St Santa Ana CA 92704,33.73365,-117.89851,,,
,,CA,ORANGE COUNTY,,Orange County Registrar of Voters,1300 S Grand Ave Bldg C Santa Ana CA 92705,33.73216,-117.85178,,,
,,CA,ORANGE COUNTY,,El Salvador Community Center,1825 W Civic Center Dr Santa Ana CA 92703,33.7518,-117.89446,,,
,,CA,ORANGE COUNTY,,Salgado Recreation Center,706 N Newhope St Santa Ana CA 92703,33.75116,-117.92998,,,
,,CA,ORANGE COUNTY,,Santa Anita Recreation Center,300 S Figueroa St Santa Ana CA 92703,33.74395,-117.91874,,,
,,CA,ORANGE COUNTY,,Roosevelt-Walker Community Center,816 E Chestnut Ave Santa Ana CA 92701,33.74231,-117.8573,,,
,,CA,ORANGE COUNTY,,Delhi Center,505 E Central Ave Santa Ana CA 92707,33.71434,-117.86124,,,
,,CA,ORANGE COUNTY,,Santa Ana College,1530 W 17th St Santa Ana CA 92706,33.7582,-117.8887,,,
,,CA,ORANGE COUNTY,,Santa Ana Police Community Room,60 Civic Center Dr Santa Ana CA 92701,33.751,-117.88044,,,
,,CA,ORANGE COUNTY,,Fairview Warner Shopping Center,2413 S Fairview St Unit F Santa Ana CA 92704,33.71399,-117.90727,,,
,,CA,ORANGE COUNTY,,Downtown Plaza,407 E 1st St Ste 2CD Santa Ana CA 92701,33.74663,-117.86425,,,
,,CA,ORANGE COUNTY,,Latino Health Access,450 W 4th St Santa Ana CA 92701,33.74779,-117.87203,,,
,,CA,ORANGE COUNTY,,Orange County First Assembly of God,1440 E Santa Clara Ave Santa Ana CA 92705,33.76675,-117.84887,,,
,,CA,ORANGE COUNTY,,Foothill High School,19251 Dodge Ave North Tustin CA 92705,33.76681,-117.79753,,,
,,CA,ORANGE COUNTY,,City of Seal Beach Fire Station 48,3131 N Gate Rd Seal Beach CA 90740,33.77288,-118.0772,,,
,,CA,ORANGE COUNTY,,Seal Beach Senior Center,707 Electric Ave Seal Beach CA 90740,33.74365,-118.10483,,,
,,CA,ORANGE COUNTY,,Saddleback Gateway – Library of the Canyons,7531 E Santiago Canyon Rd Silverado CA 92676,33.74346,-117.66764,,,
,,CA,ORANGE COUNTY,,Community Center at Stanton City Hall,7800 Katella Ave Stanton CA 90680,33.80182,-117.99638,,,
,,CA,ORANGE COUNTY,,Stanton Central Park,10660 Western Ave Stanton CA 90680,33.80759,-118.00133,,,
,,CA,ORANGE COUNTY,,Trabuco Canyon Water District,32003 Dove Canyon Dr Trabuco Canyon CA 92679,33.64115,-117.57329,,,
,,CA,ORANGE COUNTY,,Clifton C Miller Community Center,300 Centennial Way Tustin CA 92780,33.74326,-117.81951,,,
,,CA,ORANGE COUNTY,,Columbus Tustin Activity Center,17522 Beneta Way Tustin CA 92780,33.75074,-117.82116,,,
,,CA,ORANGE COUNTY,,Community Center at The Market Place 2nd floor,2961 El Camino Real Tustin CA 92782,33.72436,-117.79133,,,
,,CA,ORANGE COUNTY,,Tustin Family and Youth Center ,14722 Newport Ave Tustin CA 92780,33.72986,-117.82972,,,
,,CA,ORANGE COUNTY,,Fairfield Inn & Suites Tustin,15011 Newport Ave Tustin CA 92780,33.72542,-117.83438,,,
,,CA,ORANGE COUNTY,,Miriam Warne Community Building,14491 Beach Blvd Westminster CA 92683,33.75238,-117.99003,,,
,,CA,ORANGE COUNTY,,Sigler Park/Family Resource Center,7200 Plaza St Westminster CA 92683,33.75752,-118.00273,,,
,,CA,ORANGE COUNTY,,Westminster Branch Library,8180 13th St Westminster CA 92683,33.7552,-117.98649,,,
,,CA,ORANGE COUNTY,,Town Hall Clubhouse at Westminster Village,5200 Blackpool Rd Westminster CA 92683,33.75713,-118.03933,,,
,,CA,ORANGE COUNTY,,Storefront at 6480 Westminster,6480 Westminster Blvd Westminster CA 92683,33.75899,-118.01645,,,
,,CA,ORANGE COUNTY,,Thomas Lasorda Jr Field House,4701 Casa Loma Ave Yorba Linda CA 92886,33.89261,-117.82549,,,
,,CA,ORANGE COUNTY,,Yorba Linda Public Library,18181 Imperial Hwy Yorba Linda CA 92886,33.89108,-117.81512,,,
,,CA,ORANGE COUNTY,,Danish Lutheran Church & Cultural Center,16881 Bastanchury Rd Yorba Linda CA 92886,33.89954,-117.83932,,,
,,CA,ORANGE COUNTY,,Church of Grace,22653 Old Canal Rd Yorba Linda CA 92887,33.87377,-117.74092,,,
,,CA,ORANGE COUNTY,,Yorba Linda Presbyterian Church ,19301 Yorba Linda Blvd Yorba Linda CA 92886,33.88921,-117.79734,,,
,,CA,ORANGE COUNTY,,Midway City Community Center,14900 Park Ln Midway City CA 92655,33.74624,-117.97858,,,
